				NO			,				FN			,				LN			,				DIVISION			,				OVERALL			,				DIVPL			,				SEXPL			,				10K			,				HALF MARATHON			,				20 MILE			,				TIME			,				PACE			
8626,Dan,Mueller,M35-39,756,80/107,511/678,1:02:01,-,3:21:27,4:34:09,10:28
8131,Joshua,Burton,M01-19,757,20/21,512/678,1:06:30,2:24:40,3:32:28,4:34:20,10:29
8407,Brian,Incitti,M40-44,758,62/76,513/678,44:48:00,1:44:53,3:03:30,4:34:20,10:29
8785,Olivia,Salow,F25-29,759,50/79,246/430,1:01:57,2:12:31,3:25:56,4:34:24,10:29
8527,Candace,Lent,F18-24,760,58/88,247/430,1:05:11,2:19:19,3:30:34,4:34:25,10:29
8686,Allan,Palomares,M40-44,761,63/76,514/678,1:03:30,2:12:41,3:25:40,4:34:28,10:29
8770,Bruce,Rounds,M60-64,762,15/25,515/678,51:15:00,1:51:18,3:00:41,4:34:29,10:29
8112,Stacy,Brenneke,F45-49,763,19/35,248/430,59:03:00,2:10:27,3:26:43,4:34:51,10:30
8426,Dave,Jones,M40-44,764,64/76,516/678,1:00:32,2:12:39,3:27:49,4:34:54,10:30
8290,Russell,Galston,M35-39,765,81/107,517/678,1:02:06,-,3:23:58,4:35:10,10:31
8885,Joe,Studee,M30-34,766,73/98,518/678,1:02:06,2:11:58,3:23:58,4:35:10,10:31
8972,Gabe,Westmont,M35-39,767,82/107,519/678,55:30:00,1:58:23,3:12:20,4:35:19,10:31
8218,Clayre,Doyle,F01-19,768,6/15,249/430,1:02:05,2:11:23,3:28:09,4:35:46,10:32
8851,Tessa,Solberg,F18-24,769,59/88,250/430,1:02:06,2:11:24,3:28:11,4:35:47,10:32
8316,Kandyce,Graber,F18-24,770,60/88,251/430,1:01:31,2:09:19,3:21:23,4:35:47,10:32
8224,Bill,Drifke,M50-54,771,32/46,520/678,1:02:04,2:10:04,3:22:03,4:35:50,10:32
8192,Kari,Davis,F35-39,772,38/69,252/430,1:00:08,-,3:21:57,4:35:53,10:32
8513,Amy,Latka,F40-44,773,25/45,253/430,1:02:48,2:14:00,3:28:14,4:36:00,10:33
8444,Liz,Kayzar,F40-44,774,26/45,254/430,-,2:17:08,3:28:52,4:36:16,10:33
8211,Lisa,Disher,F40-44,775,27/45,255/430,56:13:00,2:04:12,3:20:47,4:36:16,10:33
9156,Ben,Van Vooren,M25-29,776,84/109,521/678,55:28:00,1:59:05,3:18:51,4:36:17,10:33
84,Chiahao,Wu,M30-34,777,74/98,522/678,1:02:00,2:07:45,3:18:11,4:36:20,10:33
8274,Lisa,Flynn,F50-54,778,10/26,256/430,1:01:40,2:09:44,3:24:09,4:36:27,10:34
9095,Kate,Condon,F18-24,779,61/88,257/430,1:00:50,2:07:15,3:18:25,4:36:42,10:34
8212,Zoe,Dixon,F18-24,780,62/88,258/430,54:13:00,2:06:17,3:26:10,4:36:51,10:34
8360,Stephen,Hayes,M35-39,781,83/107,523/678,1:09:12,2:27:56,3:44:13,4:37:00,10:35
9012,Victoria,Zimmerman,F25-29,782,51/79,259/430,58:09:00,2:07:25,3:23:16,4:37:06,10:35
8313,Cooper,Goss,M18-24,783,79/100,524/678,55:39:00,2:03:02,3:18:16,4:37:09,10:35
8161,Kristina,Cirves,F35-39,784,39/69,260/430,1:04:35,2:13:50,3:27:32,4:37:13,10:35
8165,Jennifer,Conroy,F35-39,785,40/69,261/430,58:39:00,2:06:48,3:22:36,4:37:19,10:36
8268,Paul,Ferguson,M35-39,786,84/107,525/678,58:00:00,2:02:46,3:21:22,4:37:21,10:36
9139,Todd,Powers,M50-54,787,33/46,526/678,59:11:00,2:06:54,3:19:37,4:37:29,10:36
9088,Jennifer,Brooks,F30-34,788,41/54,262/430,1:06:38,2:19:44,3:32:21,4:37:35,10:36
8858,Caroline,Spencer,F55-59,789,6/14,263/430,1:02:36,2:12:03,3:26:09,4:37:40,10:36
8969,James,Werner,M18-24,790,80/100,527/678,1:07:48,2:17:24,3:25:52,4:37:43,10:36
8271,Jerod,Fisher,M25-29,791,85/109,528/678,56:57:00,2:03:33,3:23:56,4:38:03,10:37
9184,Michael,Xie,M18-24,792,81/100,529/678,1:04:17,2:14:55,3:29:09,4:38:04,10:37
8748,Tonya,Rettmann,F35-39,793,41/69,264/430,1:00:07,2:09:39,3:23:25,4:38:17,10:38
8827,Ariel,Sheffey,F01-19,794,7/15,265/430,1:02:04,2:10:01,3:22:06,4:38:19,10:38
8574,Ian,Matz,M18-24,795,82/100,530/678,57:04:00,2:01:09,3:20:20,4:39:16,10:40
8057,Ava,Barker,F01-19,796,8/15,266/430,1:07:10,2:19:47,3:33:25,4:39:20,10:40
92,Kim,Conaway,F25-29,797,52/79,267/430,1:07:43,2:21:47,3:34:36,4:39:23,10:40
8717,Eileen,Pierce,F50-54,798,11/26,268/430,1:02:14,-,3:28:55,4:39:25,10:40
9057,Chris,Traeger,M30-34,799,75/98,531/678,1:03:04,2:14:32,3:25:51,4:39:26,10:40
8997,Peace,Wynn,F25-29,800,53/79,269/430,1:05:27,2:16:59,3:30:29,4:39:52,10:41
8647,Megan,Newport,F35-39,801,42/69,270/430,1:04:44,2:15:38,3:30:38,4:40:12,10:42
8561,Nicole,Maly-Verhelst,F40-44,802,28/45,271/430,1:05:06,-,3:34:49,4:40:20,10:42
8742,Jean,Reiche,F40-44,803,29/45,272/430,1:05:06,-,3:34:50,4:40:20,10:42
89,Phil,Hands,M35-39,804,85/107,532/678,1:04:22,2:14:27,3:26:19,4:40:28,10:43
9162,Xiaoning,Wang,M25-29,805,86/109,533/678,49:27:00,1:50:33,3:18:17,4:40:28,10:43
8195,Michael,Dean,M45-49,806,43/58,534/678,54:47:00,1:59:03,3:15:34,4:40:43,10:43
8581,Sharon,McDaniel,F55-59,807,7/14,273/430,1:05:14,2:20:23,3:34:54,4:40:45,10:43
65,Kimberly,Rozum,F45-49,808,20/35,274/430,1:00:36,2:16:48,3:31:00,4:40:47,10:44
96,Amy,Lawrence,F40-44,809,30/45,275/430,1:05:04,2:18:37,3:33:38,4:40:54,10:44
9031,Peter,Hegarty,M50-54,810,34/46,535/678,1:05:06,2:20:07,-,4:40:59,10:44
8725,Rick,Prescott,M60-64,811,16/25,536/678,56:11:00,2:05:24,3:24:04,4:41:05,10:44
8653,Philip,Nich,M18-24,812,83/100,537/678,1:09:32,2:21:53,-,4:41:13,10:44
8763,Tiffani,Roltgen,F35-39,813,43/69,276/430,1:01:53,2:11:00,3:26:11,4:41:13,10:45
8382,Laura,Hickok,F45-49,814,21/35,277/430,1:04:50,2:14:34,3:31:44,4:41:17,10:45
8381,Larry,Hickok,M45-49,815,44/58,538/678,1:04:51,-,3:31:44,4:41:18,10:45
8084,Chris,Bintliff,M40-44,816,65/76,539/678,55:58:00,2:00:51,3:20:54,4:41:22,10:45
8962,Sue,Weikert,F45-49,817,22/35,278/430,1:05:06,2:20:06,3:34:50,4:41:29,10:45
8001,Melissa,Bateman,F40-44,818,31/45,279/430,-,2:20:08,3:34:51,4:41:31,10:45
8190,Kristin,Darnell,F01-19,819,9/15,280/430,1:02:01,2:11:23,3:27:25,4:41:31,10:45
8436,John,Kalupa,M18-24,820,84/100,540/678,55:21:00,2:05:15,3:22:30,4:41:33,10:45
9090,Ryan,Cardarella,M30-34,821,76/98,541/678,47:18:00,1:44:02,3:00:59,4:41:41,10:46
8836,Barbara,Sims,F50-54,822,12/26,281/430,1:02:31,2:12:43,3:29:58,4:42:11,10:47
8135,Sean,Byland,M30-34,823,77/98,542/678,59:25:00,2:06:33,3:23:49,4:42:40,10:48
8051,Chris,Baldwin,F45-49,824,23/35,282/430,1:01:49,2:12:50,3:33:07,4:43:02,10:49
58,Scott,Peterson,M45-49,825,45/58,543/678,1:03:34,2:16:56,3:34:27,4:43:12,10:49
8544,Ashley,Ludwig,F18-24,826,63/88,283/430,59:17:00,2:09:51,3:27:37,4:43:18,10:49
8955,Shelby,Weaver,F18-24,827,64/88,284/430,1:01:46,2:14:39,3:31:16,4:43:27,10:50
8891,Daniel,Swanson,M50-54,828,35/46,544/678,58:20:00,2:10:13,3:28:39,4:43:29,10:50
22,Kelly,Doty,F01-19,829,10/15,285/430,1:02:02,2:09:43,3:22:22,4:43:45,10:50
8251,Claire,Erickson,F18-24,830,65/88,286/430,58:26:00,2:07:10,3:25:19,4:44:18,10:52
8105,Adam,Bower,M25-29,831,87/109,545/678,55:26:00,2:04:23,3:24:18,4:44:22,10:52
8996,Ryan,Wright,M30-34,832,78/98,546/678,1:02:03,2:09:59,3:19:34,4:45:22,10:54
9128,Scott,Longley,M30-34,833,79/98,547/678,53:20:00,1:53:21,3:08:44,4:45:41,10:55
8489,Janet,Krueger,F45-49,834,24/35,287/430,1:04:15,2:15:38,3:30:36,4:45:46,10:55
8291,Paul,Galuska,M45-49,835,46/58,548/678,1:04:14,2:15:38,3:29:48,4:45:51,10:55
8533,Junhao,Liu,M25-29,836,88/109,549/678,1:01:19,2:08:47,3:26:02,4:46:13,10:56
8930,Jeff,Vercauteren,M30-34,837,80/98,550/678,55:40:00,1:58:07,3:18:01,4:46:15,10:56
8534,Stan,Liu,M60-64,838,17/25,551/678,1:02:07,2:10:20,3:26:48,4:46:20,10:56
8202,Alex,Delgado,M30-34,839,81/98,552/678,1:02:56,-,3:28:22,4:46:30,10:57
8088,Sarah,Blewitt,F25-29,840,54/79,288/430,1:01:39,2:14:12,3:31:19,4:46:42,10:57
9118,Nate,Johnson,M40-44,841,66/76,553/678,1:00:30,2:11:46,3:30:14,4:46:44,10:57
8826,Ann,Sheedy,F45-49,842,25/35,289/430,1:05:11,2:20:00,3:35:06,4:47:07,10:58
8780,Kristopher,Sabatini,M18-24,843,85/100,554/678,1:01:28,-,3:28:15,4:47:08,10:58
8252,Samuel,Erickson,M18-24,844,86/100,555/678,52:53:00,1:59:19,3:18:19,4:47:09,10:58
8117,Jake,Brown,M18-24,845,87/100,556/678,1:00:31,2:07:36,3:26:12,4:47:58,11:00
8979,Andrew,Wiegel,M35-39,846,86/107,557/678,1:00:56,2:09:37,3:25:15,4:48:02,11:00
8901,David,Thibodeau,M40-44,847,67/76,558/678,1:07:39,2:23:29,3:39:26,4:48:09,11:00
8784,Melissa,Salow,F25-29,848,55/79,290/430,1:01:58,2:12:31,3:30:30,4:48:17,11:01
9087,Eric,Brooks,M30-34,849,82/98,559/678,1:06:38,2:19:44,3:34:37,4:48:31,11:01
8258,Shianna,Fairbanks,F25-29,850,56/79,291/430,1:03:11,2:14:49,3:30:53,4:48:34,11:01
9182,Mona,Queoff,F50-54,851,13/26,292/430,58:16:00,-,-,4:48:35,11:01
43,Valerie,Kowalski,F25-29,852,57/79,293/430,1:04:27,2:19:30,3:35:22,4:48:36,11:01
8934,Margot,Volk,F55-59,853,8/14,294/430,59:11:00,2:09:51,3:25:17,4:49:12,11:03
8975,Orrin,White,M30-34,854,83/98,560/678,1:01:55,-,3:22:43,4:49:15,11:03
8155,Charles,Chang,M30-34,855,84/98,561/678,58:13:00,-,3:33:28,4:49:27,11:03
8772,Tyler,Rufenacht,M35-39,856,87/107,562/678,1:00:56,2:09:37,3:25:15,4:49:33,11:04
66,Sarah,Saeugling,F25-29,857,58/79,295/430,1:00:22,-,3:33:21,4:49:59,11:05
8199,MacKenzie,Deffenbaugh,F30-34,858,42/54,296/430,1:01:37,2:09:43,3:29:53,4:50:38,11:06
8089,Lilian,Blind,F18-24,859,66/88,297/430,1:01:53,2:13:49,3:33:26,4:51:10,11:07
8874,Colleen,Stieve,F35-39,860,44/69,298/430,55:29:00,2:04:20,3:25:06,4:51:19,11:08
67,Sean,Saeugling,M30-34,861,85/98,563/678,1:03:06,2:13:33,3:33:21,4:51:19,11:08
95,Richard,Woo,M25-29,862,89/109,564/678,56:24:00,2:01:43,3:27:04,4:52:09,11:10
8580,Brandy,McCoid,F35-39,863,45/69,299/430,1:04:05,2:16:27,3:34:39,4:52:26,11:10
8348,Danneka,Halverson,F25-29,864,59/79,300/430,1:09:16,2:26:33,3:43:50,4:52:28,11:10
8371,Kc,Heller,F30-34,865,43/54,301/430,1:04:54,2:19:46,3:40:19,4:52:29,11:10
8520,Vicki,Lein,F50-54,866,14/26,302/430,1:00:05,2:09:29,3:27:52,4:52:53,11:11
9076,Carlos,Becerra,M25-29,867,90/109,565/678,58:48:00,2:12:57,3:37:11,4:53:33,11:13
8616,Mary,Mohr,F18-24,868,67/88,303/430,59:41:00,2:14:34,3:35:31,4:53:53,11:13
8614,Tyler,Modlin,M18-24,869,88/100,566/678,59:29:00,2:12:55,3:39:22,4:53:58,11:14
8115,Joe,Brosious,M45-49,870,47/58,567/678,1:02:14,2:13:34,3:30:39,4:54:15,11:14
8425,Dalys,Johnson Sandoval,F45-49,871,26/35,304/430,1:06:01,2:24:35,3:45:17,4:54:23,11:15
20,Michelle,Dimartino,F40-44,876,33/45,309/430,1:01:54,2:14:18,3:35:40,4:54:38,11:15
8814,Lee,Schwartz,M40-44,877,68/76,568/678,1:09:15,2:23:54,3:40:10,4:54:38,11:15
8669,Ryan,O'Herrin,M35-39,878,88/107,569/678,1:09:14,2:23:54,3:40:11,4:54:38,11:15
8245,Andrea,Elwood,F40-44,879,34/45,310/430,1:05:18,2:18:52,3:37:10,4:54:49,11:16
8341,Chris,Haag Dillon,F55-59,880,9/14,311/430,1:07:44,2:23:48,3:42:02,4:55:18,11:17
8233,Nino,Dzanic,M25-29,881,91/109,570/678,1:02:04,2:10:07,3:34:14,4:55:19,11:17
8558,Lindsay,Mair,F18-24,882,68/88,312/430,1:00:45,2:13:24,3:35:24,4:55:20,11:17
8289,Maria,Galent,F30-34,883,44/54,313/430,1:08:58,2:29:40,3:45:51,4:55:23,11:17
9120,Michaela,Ketchum,F18-24,884,69/88,314/430,55:25:00,2:02:27,3:23:46,4:55:36,11:17
8121,John,Bryson,M55-59,885,29/33,571/678,57:35:00,2:03:59,3:27:27,4:55:53,11:18
9041,June,Norman,F50-54,886,16/26,315/430,1:04:47,-,3:44:04,4:55:59,11:18
8015,Katie,Shaffer,F25-29,887,60/79,316/430,1:00:19,-,3:41:14,4:57:17,11:21
8643,Torill,Nelson,F50-54,888,17/26,317/430,1:06:02,2:24:34,3:45:20,4:57:31,11:22
8206,Lee,Depret-Bixio,F50-54,889,18/26,318/430,1:06:02,2:24:35,3:45:28,4:57:32,11:22
9089,Alex,Caffentzis,M18-24,890,89/100,572/678,-,1:56:25,3:27:58,4:57:40,11:22
8698,Megan,Pearson,F01-19,891,11/15,319/430,1:07:39,-,3:47:25,4:57:49,11:22
8829,Jennifer,Shields,F35-39,892,47/69,320/430,-,2:21:29,3:40:22,4:57:52,11:23
9043,Chris,Pollock,M40-44,893,69/76,573/678,-,2:21:10,3:44:44,4:57:55,11:23
9166,Shawna,Wehmeier,F30-34,894,45/54,321/430,58:22:00,2:07:31,3:34:02,4:58:03,11:23
8751,Dawn,Rickard,F45-49,895,27/35,322/430,1:08:04,2:23:29,3:42:47,4:58:05,11:23
8898,Kaetlyn,Taylor,F25-29,896,61/79,323/430,1:06:03,2:22:11,3:40:08,4:58:12,11:23
8656,Emily,Novak,F25-29,897,62/79,324/430,1:07:06,-,3:47:10,4:58:18,11:24
8464,Stephanie,Klatt,F35-39,898,48/69,325/430,1:09:09,2:26:47,-,4:58:18,11:24
8373,Kaitlyn,Henning,F25-29,899,63/79,326/430,1:05:16,-,3:39:48,4:58:24,11:24
9109,Alex,Gumirov,M50-54,900,36/46,574/678,53:55:00,1:58:09,3:20:05,4:58:27,11:24
8332,Colin,Grove,M45-49,901,48/58,575/678,-,28:55:00,-,4:58:34,11:24
8640,Christopher,Nelson,M40-44,902,70/76,576/678,1:05:05,2:20:06,3:39:20,4:58:37,11:24
8711,Maggie,Pfeil,F35-39,903,49/69,327/430,1:04:31,2:20:02,3:40:20,4:58:48,11:25
8734,Mary,Rader,F25-29,904,64/79,328/430,1:03:34,2:16:56,3:36:42,4:58:57,11:25
48,Anthony,McCumber,M35-39,905,89/107,577/678,57:30:00,2:07:49,3:35:41,4:59:00,11:25
8261,Sarah,Farebrother,F45-49,906,28/35,329/430,1:09:16,2:27:45,3:47:30,4:59:06,11:25
8951,Mikiko,Warren,F35-39,907,50/69,330/430,1:06:27,2:23:45,3:45:05,4:59:12,11:26
8090,Darick,Bloom,M35-39,908,90/107,578/678,59:05:00,2:09:23,3:36:19,4:59:22,11:26
8655,Christopher,Novak,M35-39,909,91/107,579/678,1:02:40,2:16:23,3:39:21,4:59:33,11:26
8239,Benjamin,Edlavitch,M40-44,910,71/76,580/678,1:07:04,2:24:55,3:43:12,4:59:36,11:27
9212,Louis,Lapat,M35-39,911,92/107,581/678,1:07:04,2:24:55,3:43:10,4:59:37,11:27
8918,Sarah,Urben,F35-39,912,51/69,331/430,1:01:29,2:09:56,3:35:21,4:59:41,11:27
8476,Matthew,Koel,M35-39,913,93/107,582/678,59:06:00,2:09:25,3:36:22,4:59:46,11:27
8949,Lianne,Warner,F45-49,914,29/35,332/430,1:05:06,-,3:42:11,4:59:52,11:27
9151,Hans,Spielmann,M40-44,915,72/76,583/678,1:01:42,2:11:26,3:29:24,4:59:54,11:27
15,Katie,Cable,F18-24,916,70/88,333/430,1:07:39,2:23:49,3:43:46,5:00:25,11:28
8663,Patrick,O'Brien,M25-29,917,92/109,584/678,1:00:32,2:13:14,3:39:50,5:00:36,11:29
8970,Randy,Westman,M55-59,918,30/33,585/678,1:04:52,2:18:07,3:39:04,5:00:37,11:29
8304,Michael,Glickman,M50-54,919,37/46,586/678,1:05:47,2:23:17,3:42:37,5:00:52,11:29
8695,Keith,Pascal,M50-54,920,38/46,587/678,1:05:48,2:23:17,3:42:36,5:00:53,11:30
8688,Teagan,Pantenburg,F01-19,921,12/15,334/430,1:00:41,2:10:51,3:36:04,5:00:53,11:30
8820,Kasey,Sents,F25-29,922,65/79,335/430,1:02:31,2:15:01,3:38:50,5:01:05,11:30
8678,Jennifer,Ostrenga,F40-44,923,35/45,336/430,1:01:44,-,-,5:01:29,11:31
8793,Eric,Scheftgen,M25-29,924,93/109,588/678,1:11:07,2:29:48,3:47:39,5:01:30,11:31
8598,Jennifer,Meudt,F35-39,925,52/69,337/430,1:02:42,2:16:47,3:40:14,5:01:31,11:31
9026,Teresa,Fosdick,F35-39,926,53/69,338/430,1:02:43,2:16:46,3:40:15,5:01:31,11:31
8079,Betty,Best,F50-54,927,19/26,339/430,1:06:02,-,3:45:20,5:02:56,11:34
8499,Jody Past,Lackey,F50-54,928,20/26,340/430,1:05:47,-,3:45:19,5:02:56,11:34
8771,Nancy,Rue,F55-59,929,10/14,341/430,1:02:37,2:20:50,3:43:04,5:03:39,11:36
8619,Matt,Monette,M18-24,930,90/100,589/678,1:05:05,2:19:55,3:46:08,5:03:53,11:36
8652,Natalie,Nguyen,F25-29,931,66/79,342/430,1:03:19,2:22:28,3:45:28,5:03:55,11:36
9159,Srikanth,Veeravelli,M45-49,932,49/58,590/678,1:03:58,2:20:53,3:43:31,5:03:56,11:37
8450,Robert,Kern,M30-34,933,86/98,591/678,1:01:34,2:13:27,3:36:36,5:04:05,11:37
8693,Jan,Parker,F35-39,934,54/69,343/430,-,2:20:36,3:45:06,5:04:34,11:38
8546,John,Lukas,M55-59,935,31/33,592/678,1:07:39,2:23:19,3:45:14,5:04:44,11:38
8892,Mark,Swanson,M35-39,936,94/107,593/678,1:07:32,2:19:37,3:39:13,5:04:52,11:39
8806,Craig,Schroeder,M30-34,937,87/98,594/678,1:03:58,2:13:52,3:37:05,5:04:55,11:39
74,Laura,Steele,F30-34,938,46/54,344/430,1:08:32,2:26:08,3:47:51,5:04:58,11:39
8919,Jose,Uribe Mardones,M40-44,939,73/76,595/678,1:05:36,2:19:41,3:42:14,5:05:29,11:40
8547,Maryjane,Lukas,F18-24,940,71/88,345/430,1:07:41,2:23:23,3:45:15,5:05:29,11:40
9146,James,Schneider,M60-64,941,18/25,596/678,1:05:09,2:19:45,3:43:15,5:06:05,11:41
8077,Arthur,Bernstein,M45-49,942,50/58,597/678,1:01:04,2:13:05,3:41:38,5:06:20,11:42
98,Lisa,Pavelski,F45-49,943,30/35,346/430,1:02:05,2:17:08,3:46:27,5:06:36,11:43
8552,Zizi,MacKler,F25-29,944,67/79,347/430,1:04:33,2:19:47,3:45:09,5:06:40,11:43
8630,Daniel,Murat,M30-34,945,88/98,598/678,1:01:07,2:14:50,3:39:39,5:07:09,11:44
8167,Lisa H.,Cooper,F45-49,946,31/35,348/430,1:10:51,2:30:42,3:51:21,5:07:42,11:45
8027,Kathryn,Amlin,F30-34,947,47/54,349/430,1:09:24,-,3:51:46,5:08:05,11:46
8908,Becca,Tomesh,F25-29,948,68/79,350/430,1:05:33,2:21:28,3:45:08,5:08:05,11:46
8673,Liz,Olson,F40-44,949,36/45,351/430,1:01:43,2:17:43,3:42:26,5:08:42,11:47
8401,Peter,Huff,M50-54,950,39/46,599/678,1:05:16,2:19:37,3:39:48,5:08:48,11:48
8362,Daniel,Haywood,M25-29,951,94/109,600/678,1:05:15,2:18:04,3:44:09,5:09:26,11:49
8746,Maxwell,Renk,M18-24,952,91/100,601/678,1:09:17,2:26:22,3:48:41,5:09:31,11:49
8412,Ryan,Jaeger,M30-34,953,89/98,602/678,1:02:02,2:18:56,3:43:13,5:10:09,11:51
8963,Julia,Weinberger,F55-59,954,11/14,352/430,1:09:39,2:27:58,3:52:52,5:10:15,11:51
8502,Don,Lamb,M50-54,955,40/46,603/678,1:08:50,2:25:55,3:47:59,5:10:19,11:51
9133,Dan,McMahon,M60-64,956,19/25,604/678,1:07:43,-,3:43:52,5:10:34,11:52
9145,Catherine,Salome,F45-49,957,32/35,353/430,1:03:09,2:22:34,3:51:52,5:11:40,11:54
17,Travis,Colby,M35-39,958,95/107,605/678,1:03:14,2:17:50,3:49:29,5:12:16,11:56
62,Zach,Raby,M35-39,959,96/107,606/678,1:09:07,2:26:49,3:51:30,5:12:49,11:57
8331,Brandon,Gronau,M35-39,960,97/107,607/678,1:05:08,2:19:31,3:42:44,5:13:22,11:58
9093,Sara,Cherne,F65-69,961,2/3,354/430,1:04:16,2:21:49,3:47:22,5:13:28,11:58
8523,Katherine,Lemke,F25-29,962,69/79,355/430,1:06:42,2:25:11,3:52:01,5:13:43,11:59
8563,Nicole,Margenau,F30-34,963,48/54,356/430,1:09:16,2:28:04,3:53:18,5:13:44,11:59
8342,Gina,Hackl,F30-34,964,49/54,357/430,1:08:17,2:27:25,3:53:21,5:14:27,12:01
8343,Scott,Hackl,M35-39,965,98/107,608/678,1:08:17,2:27:25,3:53:21,5:14:28,12:01
8987,Hannah,Wilz,F18-24,970,72/88,360/430,1:03:10,2:23:39,3:52:58,5:15:28,12:03
8571,Marie,Mason,F35-39,971,56/69,361/430,1:09:16,2:29:20,3:51:43,5:15:29,12:03
8097,Hailey,Boehmer,F25-29,972,70/79,362/430,1:14:03,-,4:00:14,5:15:39,12:03
8096,David,Boehmer,M25-29,973,95/109,611/678,1:14:02,2:36:44,4:00:15,5:15:39,12:03
8503,Bill,Lamensdorf,M45-49,974,51/58,612/678,1:05:06,2:21:15,3:48:57,5:16:03,12:04
8728,Sarah,Puckett,F30-34,975,50/54,363/430,1:08:51,2:27:27,3:54:13,5:18:14,12:09
8385,Sarah,Hinde,F18-24,976,73/88,364/430,1:09:21,2:27:20,-,5:18:15,12:09
8903,Jeremy,Thompson,M25-29,977,96/109,613/678,1:09:22,2:27:25,3:52:31,5:18:15,12:09
8006,Gil,Diaz,M30-34,978,90/98,614/678,1:09:04,2:27:09,3:50:16,5:18:19,12:09
8132,Madeline,Burton,F01-19,979,13/15,365/430,-,2:24:40,3:50:18,5:18:23,12:10
8850,Jordan,Snyder,M25-29,980,97/109,615/678,1:09:06,2:21:41,3:41:25,5:18:31,12:10
9,Roderick,Birrenkott,M50-54,981,41/46,616/678,1:01:57,-,3:50:46,5:18:46,12:10
8319,Chelsea,Graham,F35-39,982,57/69,366/430,1:11:03,2:31:41,3:59:52,5:19:24,12:12
8209,Anthony,Diganci,M30-34,983,91/98,617/678,59:21:00,2:19:18,3:53:16,5:19:48,12:13
9100,Marcy,Emilio,F35-39,984,58/69,367/430,1:02:58,2:13:24,3:39:51,5:20:05,12:14
9193,Benjamin,Vehige,M35-39,985,100/107,618/678,1:06:14,-,3:50:37,5:20:25,12:14
18,Steve,Colombo,M45-49,986,52/58,619/678,51:19:00,1:51:39,3:35:31,5:20:32,12:15
8325,Dennis,Graves,M60-64,987,20/25,620/678,59:28:00,2:17:55,3:47:26,5:21:41,12:17
9196,Katy,Vogt,F25-29,988,71/79,368/430,1:04:52,2:26:45,3:57:54,5:22:36,12:19
8035,Diana,Armacanqui,F18-24,989,74/88,369/430,1:04:51,2:26:45,3:57:49,5:22:36,12:19
8522,Erik,Lemke,M30-34,990,92/98,621/678,1:00:58,2:16:32,-,5:22:52,12:20
8023,Hyee,Ahn,F25-29,991,72/79,370/430,1:10:59,-,3:57:12,5:23:02,12:20
9070,Newman Adam,Amora,M35-39,992,101/107,622/678,1:07:50,2:26:01,3:59:43,5:23:18,12:21
8219,Emily,Doyle,F25-29,993,73/79,371/430,1:04:41,2:22:22,3:52:21,5:23:39,12:22
8928,Katie,Vatnsdal,F18-24,994,75/88,372/430,1:08:22,-,-,5:23:55,12:22
69,Adam,Schmidt,M35-39,995,102/107,623/678,1:06:02,2:22:10,3:48:54,5:23:59,12:22
8435,Dinushan,Kaluarachchi,M35-39,996,103/107,624/678,1:02:37,2:15:25,3:50:30,5:24:12,12:23
42,Becky,Kohlhepp,F40-44,997,38/45,373/430,1:07:30,2:28:48,4:00:42,5:24:14,12:23
8270,Diane,Fisher,F50-54,998,21/26,374/430,1:09:43,-,3:57:31,5:24:19,12:23
8283,Jenny,Frisch,F40-44,999,39/45,375/430,1:11:43,2:35:14,4:06:10,5:24:39,12:24
8745,Jenny,Renfro,F45-49,1000,33/35,376/430,1:11:43,2:35:12,4:06:11,5:24:40,12:24
8953,Kim,Wason,F50-54,1001,22/26,377/430,1:16:25,2:40:17,4:10:20,5:25:41,12:26
8147,Ashley,Carroll,F25-29,1002,74/79,378/430,1:16:25,2:40:17,4:10:21,5:25:41,12:26
9199,Deborah,Vomhof,F55-59,1003,12/14,379/430,-,2:28:04,3:53:19,5:25:58,12:27
8418,Lisa,Jeffers,F40-44,1004,40/45,380/430,1:09:17,2:27:21,3:53:17,5:25:58,12:27
8248,Noah,Engelhart,M18-24,1005,92/100,625/678,1:03:22,2:16:39,3:45:29,5:26:13,12:28
8071,Peter,Beierle,M18-24,1006,93/100,626/678,1:03:22,2:16:40,3:45:30,5:26:14,12:28
8193,Rebecca,Davis,F40-44,1007,41/45,381/430,1:12:59,2:34:38,3:57:25,5:27:15,12:30
8707,Lauren,Pett,F35-39,1008,59/69,382/430,-,2:33:12,-,5:27:58,12:32
8185,Xiaowu,Dai,M18-24,1009,94/100,627/678,1:01:59,2:17:46,-,5:28:18,12:32
75,Lisa,Stephenson,F35-39,1010,60/69,383/430,1:09:21,2:31:23,4:02:02,5:28:19,12:32
9188,Steve,Reeder,M50-54,1011,42/46,628/678,1:06:47,2:27:20,4:01:29,5:29:16,12:35
8968,Jacqueline,Wenzel,F18-24,1012,76/88,384/430,58:19:00,2:16:03,4:07:53,5:29:46,12:36
40,Liz,Karg,F35-39,1013,61/69,385/430,1:09:37,2:33:35,4:06:22,5:29:46,12:36
8045,Quinn,Bachofen,F01-19,1014,14/15,386/430,-,2:33:02,4:05:00,5:29:55,12:36
9147,Aj,Scholz,M30-34,1015,93/98,629/678,1:08:56,2:29:56,4:03:08,5:30:46,12:38
9071,Jeff,Andes,M30-34,1016,94/98,630/678,1:08:56,-,-,5:30:47,12:38
