age	gender	firstHalf	final	halfPace	fullPace	secondHalf	secondHalfPace	BQ	diffPace	ID
24	M	01:18:35	02:40:47	359.923664122137	368.206106870229	01:22:12	376.488549618321	1	16.5648854961832	203
53	M	01:15:11	02:40:49	344.351145038168	368.282442748092	01:25:38	392.213740458015	1	47.8625954198473	204
37	M	01:17:57	02:40:51	357.022900763359	368.358778625954	01:22:54	379.69465648855	1	22.6717557251908	205
34	M	01:17:42	02:40:53	355.87786259542	368.435114503817	01:23:11	380.992366412214	1	25.1145038167939	206
31	M	01:17:57	02:40:56	357.022900763359	368.549618320611	01:22:59	380.076335877863	1	23.0534351145038	207
42	M	01:20:09	02:41:00	367.099236641221	368.702290076336	01:20:51	370.30534351145	1	3.20610687022901	208
41	M	01:19:48	02:41:16	365.496183206107	369.312977099237	01:21:28	373.129770992366	1	7.63358778625957	209
35	W	01:18:19	02:41:16	358.702290076336	369.312977099237	01:22:57	379.923664122137	1	21.2213740458016	210
44	M	01:19:12	02:41:17	362.748091603053	369.351145038168	01:22:05	375.954198473282	1	13.206106870229	211
33	M	01:14:57	02:41:17	343.282442748092	369.351145038168	01:26:20	395.419847328244	1	52.1374045801526	212
36	M	01:18:39	02:41:25	360.229007633588	369.656488549618	01:22:46	379.083969465649	1	18.8549618320611	213
44	M	01:19:34	02:41:26	364.427480916031	369.69465648855	01:21:52	374.961832061069	1	10.5343511450382	214
34	M	01:18:47	02:41:32	360.839694656489	369.923664122137	01:22:45	379.007633587786	1	18.1679389312977	215
39	M	01:14:44	02:41:33	342.290076335878	369.961832061069	01:26:49	397.63358778626	1	55.3435114503817	216
30	M	01:18:28	02:41:36	359.389312977099	370.076335877863	01:23:08	380.763358778626	1	21.3740458015267	217
40	M	01:18:15	02:41:59	358.396946564886	370.954198473282	01:23:44	383.511450381679	1	25.1145038167939	218
32	M	01:17:29	02:42:01	354.885496183206	371.030534351145	01:24:32	387.175572519084	1	32.2900763358779	219
18	W	01:18:03	02:42:06	357.480916030534	371.221374045802	01:24:03	384.961832061069	1	27.4809160305343	220
40	M	01:17:48	02:42:06	356.335877862595	371.221374045802	01:24:18	386.106870229008	1	29.7709923664122	221
25	M	01:19:00	02:42:08	361.832061068702	371.297709923664	01:23:08	380.763358778626	1	18.9312977099237	222
31	M	01:15:20	02:42:10	345.038167938931	371.374045801527	01:26:50	397.709923664122	1	52.6717557251908	223
44	M	01:19:47	02:42:10	365.419847328244	371.374045801527	01:22:23	377.328244274809	1	11.9083969465649	224
34	M	01:20:32	02:42:14	368.854961832061	371.526717557252	01:21:42	374.198473282443	1	5.3435114503817	225
42	M	01:18:48	02:42:14	360.916030534351	371.526717557252	01:23:26	382.137404580153	1	21.2213740458016	226
27	M	01:17:49	02:42:15	356.412213740458	371.564885496183	01:24:26	386.717557251908	1	30.3053435114504	227
36	M	01:20:06	02:42:19	366.870229007634	371.717557251908	01:22:13	376.564885496183	1	9.69465648854958	228
27	W	01:22:19	02:42:23	377.022900763359	371.870229007634	01:20:04	366.717557251908	1	-10.3053435114504	229
27	M	01:17:49	02:42:27	356.412213740458	372.022900763359	01:24:38	387.63358778626	1	31.2213740458016	230
27	M	01:22:18	02:42:27	376.946564885496	372.022900763359	01:20:09	367.099236641221	1	-9.84732824427476	231
40	M	01:20:40	02:42:33	369.465648854962	372.251908396947	01:21:53	375.038167938931	1	5.57251908396944	232
35	M	01:20:04	02:42:34	366.717557251908	372.290076335878	01:22:30	377.862595419847	1	11.1450381679389	233
35	M	01:18:06	02:42:35	357.709923664122	372.328244274809	01:24:29	386.946564885496	1	29.236641221374	234
32	M	01:25:19	02:42:35	390.763358778626	372.328244274809	01:17:16	353.893129770992	1	-36.8702290076336	235
25	M	01:20:04	02:42:36	366.717557251908	372.36641221374	01:22:32	378.015267175573	1	11.2977099236641	236
38	M	01:16:24	02:42:37	349.923664122137	372.404580152672	01:26:13	394.885496183206	1	44.9618320610687	237
24	M	01:16:21	02:42:38	349.69465648855	372.442748091603	01:26:17	395.190839694657	1	45.4961832061069	238
29	M	01:20:31	02:42:39	368.778625954199	372.480916030534	01:22:08	376.18320610687	1	7.40458015267171	239
30	M	01:18:09	02:42:41	357.93893129771	372.557251908397	01:24:32	387.175572519084	1	29.236641221374	240
27	M	01:19:50	02:42:42	365.648854961832	372.595419847328	01:22:52	379.541984732824	1	13.8931297709924	241
